model_id,hf_repo,arch,params,lang,status,peak_vram_mb,peak_rss_mb,load_s,infer_s,audio_s,rtf,asr_cer,f0_std_hz,f0_mean_hz,voiced_ratio,voice_control,requested_gender,detected_gender,mp3,asr_hypothesis,notes
lahja-sa-huba-v1,wasmdashai/lahja-sa-huba-v1,vits,~36M,Arabic (Saudi dialect),ok,412.0,1404.6,3.68,2.25,20.38,0.11,0.16,19.3,187.3,0.876,fixed,male,female,results/audio/lahja-sa-huba-v1.mp3,صباحة الخير وشكرا لك على وقتك للتحدث معي هو أطلع إلا فهم أسلوبك في العمل وشخصيةك بشكل أفضل اللي بطأني هل يمكنك أن تحدثني عن موقع فالطرد في إلتكيف مع مشوع ومبادرة جديدة في العمل كيف كان شعورك وانت تسعلم شيئا جديد انت مممزة,"VITS fine-tuned on Saudi dialectal data (expressive target). | NOTE: fixed voice is female, cannot force male"
seyedali-mms-ar,SeyedAli/Arabic-Speech-synthesis-MMS,vits,~36M,Arabic,ok,536.0,1381.9,3.47,2.39,31.89,0.075,0.11,40.6,133.6,0.898,fixed,male,male,results/audio/seyedali-mms-ar.mp3,الصبح الخير وشكرا لك على وقتك لتحدث معي اليومي أطلعوا إياه فهم أسلوبك في العمل وشخصيتك بشكل أفضل لبدأوا هل يمكنك أن تحدثنا عن موقف الترارف فيه إلى التكيف مع مشروع أو مبادرة جديدة في العمل. كيف كان الشعورك وانت تتعلم شيئا جديدا تماما؟,MMS-derived VITS variant.
xtts-v2,coqui/XTTS-v2,xtts,~460M,Arabic (multilingual),ok,2466.0,4524.3,30.91,10.57,24.08,0.439,0.315,15.7,95.0,0.131,selectable,male,male,results/audio/xtts-v2.mp3,صباح الحير وشكرا لك على وقتك للتحدث مع اليوم أتطلع إلى فهم أسلوبك في العمل وشحصيتك بشكل أفضل لنبدأ هل يمكنك أن تحدثني عن موقف ان تررت فيه إلى التكيف مع مشوع أو مبدرة جديدة في العمل كيف؟ موقف أن تررت فيه إلى التكيف مع مشوء أو مبدرة جديدة في العمل كيف كان مشورك وانت تتعلم شيئا جديدا تماما,"Coqui XTTS-v2, expressive + voice cloning; Arabic official. ~2 GB tier."
audar-tts-v1-flash-q4,audarai/Audar-TTS-V1-Flash,audar_gguf,~0.6B (Q4),Arabic (expressive),failed,,,,,,,,,,,,,,,,Expressive LLM-codec TTS; fits budget only when 4-bit quantized. | ERROR: Audar GGUF requires llama.cpp + NeuCodec decoder tooling not present; handled as a documented stretch attempt.
omnivoice,k2-fsa/OmniVoice,omnivoice,~0.6B,Arabic (arb/MSA + dialects),ok,2736.0,4706.6,8.42,4.98,19.81,0.251,0.0,34.2,139.4,0.874,selectable,male,male,results/audio/omnivoice.mp3,صباح الخير وشكرا لك على وقتك للتحدث معي اليوم أتطلع إلى فهم أسلوبك في العمل وشخصيتك بشكل أفضل لنبدأ هل يمكنك أن تحدثني عن موقف إضطررت فيه إلى التكيف مع مشروع أو مبادرة جديدة في العمل كيف كان شعورك وانت تتعلم شيئا جديدا تماماً,"k2-fsa OmniVoice, expressive multilingual; text voice-design (gender tags). ~2 GB tier."
vits-ar-sa-ahmad,wasmdashai/lahja-sa-ahmad-v1,vits,~36M,Arabic (Saudi dialect),ok,346.0,1428.9,169.04,1.6,15.6,0.103,0.254,9.9,119.9,0.17,fixed,male,male,results/audio/vits-ar-sa-ahmad.mp3,وشكرا لك على وقت التحدث معي اللهم لا تطلع لهم أسوه في العمل وشخصيت بشكل أثر لابده هل يمكنك أن تحدث عن موقف وطرد فيه للتكيف مع مشروعهم بايدة شديدة في العمل كيف كان شعورك وأنت تعلم شيء شديدة تمامة,Popular wasmdashai Saudi VITS (Ahmad speaker).
vits-ar-sa-huba-v2,wasmdashai/vits-ar-sa-huba-v2,vits,~83M,Arabic (Saudi dialect),ok,404.0,1417.3,52.86,1.34,20.48,0.065,0.177,19.8,186.9,0.88,fixed,male,female,results/audio/vits-ar-sa-huba-v2.mp3,صباحة خير وشكرا لك على وقتك للتحدث معي يوم وصباحة طلاقة اللفهم أسلوبك في العمل لشخصيتك بشكل أفضل ليابدان هل يمكنك ان تحدثني عن موقف الطررت في اللي التكيف مع مشوع أو موبادر جديد في العمل كيف كان شعلك وانت تستعلم شيئا جديد انت ماما ماما,"Base VITS that lahja-sa-huba-v1 was fine-tuned from. | NOTE: fixed voice is female, cannot force male"
vits-ar,wasmdashai/vits-ar,vits,~36M,Arabic (MSA),ok,384.0,1410.0,42.29,1.15,19.25,0.06,0.232,29.8,144.2,0.801,fixed,male,male,results/audio/vits-ar.mp3,سلاحي خيل وشكل لكال وقتك للتحدث معي لو أطلعوا إلى فهم أسلوب كيف لعمل شخصيتك بالشكل أفضل لا بلا هل يمكنك أن تحدثي عن مخفر؟ تررتوا فيه إلى التكيف مع مشواء أو مبدأة جديلة في فنعمل كيف كان شعورك وانتو تتعلم شيء الجديد وتماما,General Arabic VITS.
vits-ar-sa-A,wasmdashai/vits-ar-sa-A,vits,~83M,Arabic (Saudi dialect),ok,346.0,1435.9,70.8,1.11,15.81,0.07,0.221,18.9,125.8,0.17,fixed,male,male,results/audio/vits-ar-sa-A.mp3,ووحي الخريح وشكرا لك على وقت التحديث معي اللهم أثطل على لفهم أسوح في العمل وشخصيط بشكل أفضل لابده هل يمكنك أن تحدث عن موقف تضرط فيه للتكيف مع مشروعهم باديوه جديد في العمل كيف كان شعورك وانت تعلم شيء جديد التمامة,wasmdashai Saudi VITS variant 'A'.
vits-ar-ye-sa,wasmdashai/vits-ar-ye-sa,vits,~36M,Arabic (Yemeni dialect),ok,344.0,1414.1,26.05,1.19,12.89,0.092,0.309,15.6,161.8,0.935,fixed,male,female,results/audio/vits-ar-ye-sa.mp3,وصباح الخير وشكرا لك علىه بسكرة التحديث معي لله أفضل على فهم أزوائه في العمل وشخصيته بشكل عفظة للمدى وليه متنك أنت حديثني عن مواة تقدرت في إلا التتيف مع مجوعة وبادة جديدة في العمل ككتان جعلك وانت تعلم شيء جديدة ما ما,"wasmdashai Yemeni-dialect VITS. | NOTE: fixed voice is female, cannot force male"
mms-tts-ara,facebook/mms-tts-ara,vits,~36M,Arabic (MSA),ok,496.0,1381.8,2.81,1.53,31.84,0.048,0.144,40.1,133.1,0.866,fixed,male,male,results/audio/mms-tts-ara.mp3,الصباح الخيري وشكر لك على وقتك للتحدث معي يومي أطلعوا إلى فهم أسلوبك في العمل وشخصيتك بشكل أفضل لذلك هل يمكنك أن تحدثنا عن موقف الطرورت فيه إلى تكيف ما مشروع أو مبادرة جديدة في العمني. إيه فكنا شعورك وانت تتعلم شيئا جديدا تماما؟,"Meta MMS VITS baseline, single deterministic speaker."
speecht5-clartts-ar,MBZUAI/speecht5_tts_clartts_ar,speecht5,~144M,Arabic (MSA),ok,546.0,1296.1,4.06,2.92,26.29,0.111,0.144,13.4,95.1,0.633,selectable,male,male,results/audio/speecht5-clartts-ar.mp3,صباح الخير وشكرا لك على وقتك للتحدث تمعي لهم أطلع إلى فهم أسوبك في العمل وشخصيتك بشكل أفضل هل يمكنك أنت حد ثني عن موقف الطرار فيه إلى التكيه أو مبادرة جديدة في العمل كيف كان شعورك وانت تعلم شيء جديد تماما,"SpeechT5 + HiFi-GAN vocoder, x-vector speaker embedding."
supertonic-3,Supertone/supertonic-3,supertonic,ONNX (small),Arabic (multilingual),ok,0.0,938.1,0.91,5.62,23.41,0.24,0.044,33.7,130.6,0.501,selectable,male,male,results/audio/supertonic-3.mp3,صباح الخير وشكرا لك على وقتك للتحدث معي اليوم أطلع إلى فهم أسلوبك في العمل وشخصيتك بشكل أفضل لنبدأ هل يمكنك أن تحدثني عن موقف إنتررت فيه للتكيف مع مشروع أو مبادرة جديدة في العمل كيف كان شعورك وانت تتعلم شيئ جديدنا تماما,"Efficient multilingual ONNX TTS (CPU/onnxruntime), 10 built-in voices."
