model_id,hf_repo,arch,params,lang,status,peak_vram_mb,peak_rss_mb,load_s,infer_s,audio_s,rtf,asr_cer,f0_std_hz,f0_mean_hz,voiced_ratio,voice_control,requested_gender,detected_gender,wav,asr_hypothesis,notes
xtts-v2-Baldur_Sanjin,coqui/XTTS-v2,xtts,~460M,Arabic (multilingual),ok,0.0,4185.4,31.75,73.82,25.61,2.882,0.072,19.0,94.3,0.626,selectable,male,male,xtts_results\speaker_1.wav,سباح الخير وشكرا لك على وقتك للتحدث مع اليوم أتطلع إلى فهم مسلوبك في العملي وشحصيتك بشكل أفضل لنبدأ هل يمكنك أن تحدثني عن موقف توررت فيه الى التكيكي في مع مشروع او مبادرة جديدة في العمل كيف كان شؤولك و انت تتعلم شيئا جديدا تماما,"Coqui XTTS-v2, expressive + voice cloning; Arabic official. ~2 GB tier. | speaker=Baldur Sanjin"
xtts-v2-Aaron_Dreschner,coqui/XTTS-v2,xtts,~460M,Arabic (multilingual),ok,0.0,5466.5,20.35,72.94,24.69,2.954,0.055,54.2,120.3,0.585,selectable,male,male,xtts_results\speaker_2.wav,صباح الخير و شكرا لك على وقتك للتحدث معي اليوم أطلع إلى فهم أسروبك في العمل و شخصيتك بشكل أفضل لنبدأ هل يمكنك أن تحدثني عن موقفاً الترارت فيه إلى التكيف مع مشروع أو بادرة جديدة في العمل كيف كان الشعورك وانت تتعلم شيئاً جديداً تمام,"Coqui XTTS-v2, expressive + voice cloning; Arabic official. ~2 GB tier. | speaker=Aaron Dreschner"
xtts-v2-Dionisio_Schuyler,coqui/XTTS-v2,xtts,~460M,Arabic (multilingual),ok,0.0,5516.0,19.79,78.12,26.68,2.928,0.033,41.8,108.7,0.771,selectable,male,male,xtts_results\speaker_3.wav,سباح الخير وشكرا لك على وقتك للتحدث معي اليوم أتطلع إلى فهم أسلوبك في العمل وشحصيتك بشكل أفضل لنبدأ هل يمكنك أن تحدثني عن موقف الترارت فيه إلى التكييف مع مشروع او مبادرة جديدة في العمل كيف كان شعورك؟ وانت تتعلم شيئا جديدا تماما؟,"Coqui XTTS-v2, expressive + voice cloning; Arabic official. ~2 GB tier. | speaker=Dionisio Schuyler"
xtts-v2-Damien_Black,coqui/XTTS-v2,xtts,~460M,Arabic (multilingual),ok,0.0,5493.6,18.83,64.46,22.97,2.806,0.061,19.1,95.9,0.443,selectable,male,male,xtts_results\speaker_4.wav,سباح الخير وشكرا لك على وقتك للتحدث مع اليوم أتطلعوا إلى فهم أسلوبك في العمل وشحصي لتك بشكل أفضل لنبدأ هل يمكنك أن تحدثني عن موقف الطررت فيه إلى التكييف مع مشوء أو مبادرة جديدة في العمل؟ كيف كان شؤورك وانت تتعلم شيئا جديدا تماما؟,"Coqui XTTS-v2, expressive + voice cloning; Arabic official. ~2 GB tier. | speaker=Damien Black"
xtts-v2-Royston_Min,coqui/XTTS-v2,xtts,~460M,Arabic (multilingual),ok,0.0,5406.2,20.66,74.77,24.4,3.064,0.039,20.1,106.7,0.719,selectable,male,male,xtts_results\speaker_5.wav,سباح الخير وشكرا لك على وقتك للتحدث معي اليوم أتطلع إلى فهم أسلوبك في العمل وشخصيتك بشكل أفضل لنبدأ هل يمكنك أن تحدثني عن موقف الترارت فيه إلى التك مع مشروع او بادرة جديدة في العمل؟ كيف كان شعورك وانت تتعلم شيئا جديدا تماما؟,"Coqui XTTS-v2, expressive + voice cloning; Arabic official. ~2 GB tier. | speaker=Royston Min"
xtts-v2-Filip_Traverse,coqui/XTTS-v2,xtts,~460M,Arabic (multilingual),ok,0.0,5418.9,19.7,81.58,29.05,2.808,0.028,21.0,102.5,0.747,selectable,male,male,xtts_results\speaker_6.wav,صباح الخير وشكرا لك على وقتك للتحدث معي اليوم هتطلع إلى فهم أسلوبك في العمل وشخصيتك بشكل أفضل لنبدأ هل يمكنك أن تحدثني عن موقفا تتطررت فيه إلى التكيف مع مشوى أو مبادرة جديدة في العمل كيف كان شعورك وانت تتعلم شيئا جديدا تماما,"Coqui XTTS-v2, expressive + voice cloning; Arabic official. ~2 GB tier. | speaker=Filip Traverse"
xtts-v2-Adde_Michal,coqui/XTTS-v2,xtts,~460M,Arabic (multilingual),ok,0.0,5397.4,19.54,65.43,23.29,2.809,0.05,15.8,102.1,0.764,selectable,male,male,xtts_results\speaker_7.wav,سباح الخير وشكرا لك على وقتك للتحدث معي اليوم أتطلع إلى فهم أسلوبك في العملي وشخصيتك بشكل أفضل لنبدأ هل يمكنك أن تحدثني عن موقف الترارات فيه للتكيف مع مشروع أو مبادرة جديدة في العمل. كيف كان شعورك وانت تتعلم شيئاً جديداً تماماً؟,"Coqui XTTS-v2, expressive + voice cloning; Arabic official. ~2 GB tier. | speaker=Adde Michal"
xtts-v2-Abrahan_Mack,coqui/XTTS-v2,xtts,~460M,Arabic (multilingual),ok,0.0,5429.2,18.51,60.58,22.68,2.671,0.022,20.1,104.0,0.757,selectable,male,male,xtts_results\speaker_8.wav,صباح الخير وشكرا لك على وقتك للتحدث معي اليوم أتطلع إلى فهم أسلوبك في العمل وشخصيتك بشكل أفضل لنبدأ هل يمكنك أن تحدثني عن موقف الترارت فيه إلى التكيف مع مشوع أو مبادرة جديدة في العمل كيف كان شعورك وانت تتعلم شيئا جديدا تماما,"Coqui XTTS-v2, expressive + voice cloning; Arabic official. ~2 GB tier. | speaker=Abrahan Mack"
xtts-v2-Ilkin_Urbano,coqui/XTTS-v2,xtts,~460M,Arabic (multilingual),ok,0.0,5388.4,20.22,82.08,27.94,2.938,0.044,23.4,112.1,0.785,selectable,male,male,xtts_results\speaker_9.wav,صباح الخير وشقرا لك على وقتك له للتحدث مع اليوم أتطلع إلى فهم اسلوبك في العمل وشحصيتك بشكل أفضل لنبدأ هل يمكنك أن تحدثني عن موقف التررت فيه الى التكييف مع مشروع أو مبادرة جديدة في العمل؟ كيف كان شعورك وانت تتعلم شيئا جديدا تماما؟,"Coqui XTTS-v2, expressive + voice cloning; Arabic official. ~2 GB tier. | speaker=Ilkin Urbano"
xtts-v2-Damjan_Chapman,coqui/XTTS-v2,xtts,~460M,Arabic (multilingual),ok,0.0,5406.6,19.5,72.22,25.23,2.862,0.033,18.6,105.2,0.697,selectable,male,male,xtts_results\speaker_10.wav,صباح الخير وشكرا لك على وقتك للتحدث معي اليوم هتطلع إلى فهم أسلوبك في العملي وشحصيتك بشكل أفضل لنبدأ هل يمكنك أن تحدثني عن موقف الطرارت فيه إلى التكيف مع مشروع أو مبادرة جديدة في العمل؟ كيف كان شؤورك وانت تتعلم شيئاً جديداً تماماً؟,"Coqui XTTS-v2, expressive + voice cloning; Arabic official. ~2 GB tier. | speaker=Damjan Chapman"
